population,households,median_income,median_house_value,total_bedrooms,latitude,longitude,housing_median_age,,,
837,337,42044,143200,430,36.07148970000001,-79.4827722,48,,,
1121,646,37927,119900,774,36.069547,-79.4607082,37,,,
782,409,46131,146000,486,36.0397429,-79.4493846,35,,,
1508,485,23977,109700,536,36.0752756,-79.4308761,29,,,
1155,518,34167,89000,571,36.0719305,-79.420369,54,,,
1677,537,54861,165200,570,36.0525169,-79.4245499,25,,,
342,168,37500,89500,289,36.0746165,-79.3807681,54,,,
1409,529,48839,155300,557,36.047635,-79.3831212,31,,,
586,300,88875,200700,361,36.0816793,-79.2767421,26,,,
1183,433,58266,166000,461,36.083760999999996,-79.329056,25,,,
1908,718,57012,149200,801,36.1053504,-79.2949549,42,,,
844,405,41193,147700,443,36.1568634,-79.3228336,31,,,
2031,687,47526,127200,782,35.887506099999996,-81.3031767,32,,,
460,200,32386,126500,335,35.9485543,-81.1163131,38,,,
1004,404,52603,98700,497,35.993708000000005,-81.1167854,37,,,
541,271,,134100,346,35.9541821,-81.2061982,34,,,
2165,842,42389,141400,978,35.9674602,-81.2822369,31,,,
1049,442,35234,114000,479,35.8390662,-81.272859,33,,,
2033,589,64776,171900,725,35.8498427,-81.3252758,36,,,
1543,731,61016,217800,833,35.8180279,-81.3220179,32,,,
1042,407,27535,110300,522,35.9077002,-81.081056,37,,,
3054,1043,47596,127300,1164,35.836536100000004,-81.1033593,30,,,
3262,770,42310,104700,915,35.848642100000006,-81.1528811,28,,,
1311,545,44519,131100,590,35.8651092,-81.2013391,30,,,
1569,685,74875,214000,866,35.830860799999996,-81.2411635,25,,,
1576,491,44375,116500,632,35.9407285,-81.2046194,44,,,
1740,673,39222,108600,757,35.9174676,-81.1398159,36,,,
1287,551,24596,89700,653,35.9100235,-81.1732246,34,,,
1121,383,29297,128500,449,35.9399786,-81.1797076,29,,,
967,383,48125,177400,467,35.912202799999996,-81.2111912,26,,,
1018,483,34351,112200,620,35.8935399,-81.2619487,34,,,
1627,620,56339,107300,767,35.968062100000004,-81.0430726,31,,,
1246,469,52532,117600,552,36.0123739,-81.1683876,50,,,
1990,856,78654,210500,996,35.812521999999994,-81.2799984,31,,,
1493,535,33047,111600,646,35.89376420000001,-81.1128145,32,,,
1990,662,35549,78500,828,35.8704516,-81.051536,50,,,
1083,513,36597,115700,815,36.486704100000004,-81.24398,39,,,
811,385,35551,96300,895,36.410162899999996,-81.2002818,34,,,
905,315,30917,85200,406,36.5040208,-81.1542939,43,,,
1099,483,30938,111800,611,36.4893563,-81.1322988,46,,,
1028,409,33036,202900,537,36.5065204,-81.0857329,34,,,
888,323,52708,148100,1180,36.410068599999995,-81.0048953,35,,,
1005,478,47019,141700,766,36.5146451,-80.9608856,38,,,
1043,461,39552,169100,811,36.542944,-81.2357798,34,,,
1043,441,26473,145300,668,36.546681899999996,-81.1084343,41,,,
967,480,39773,78800,810,36.465022,-81.0450344,36,,,
1101,458,28750,114900,661,36.530928499999995,-81.0168835,35,,,
548,296,30172,120500,337,35.0252112,-79.9501844,40,,,
1117,463,55352,78900,624,34.923237799999995,-79.9300517,37,,,
1084,461,45655,76700,532,34.9731993,-79.9616307,47,,,
1867,720,36563,77100,872,35.0996781,-80.1049893,37,,,
2498,925,35545,105200,1036,35.0241256,-80.1862689,38,,,
2084,732,49323,147500,889,35.0212344,-80.2566601,41,,,
966,377,35634,103400,462,35.0087669,-80.0560549,41,,,
1133,413,40950,92100,456,35.0175464,-80.1176842,40,,,
1073,464,34255,59900,501,34.9393291,-80.1443472,31,,,
575,237,20950,,375,34.9676079,-80.0924173,46,,,
1240,504,39470,102000,565,34.92701829999999,-80.0363027,49,,,
1609,664,43750,111600,876,34.958708200000004,-80.0678817,53,,,
937,440,36842,62800,508,34.849386100000004,-79.9484507,38,,,
1450,707,27429,57900,934,34.8707994,-80.0403877,35,,,
842,433,45625,72100,619,35.125898600000006,-80.2419187,31,,,
2135,239,58942,135200,280,34.9495049,-80.2147609,38,,,
1305,438,25625,81300,519,34.9718061,-80.0612598,57,,,
1304,402,74024,92000,441,34.9500827,-80.0841297,44,,,
1539,601,41964,126900,768,34.867183399999995,-80.1913016,28,,,
1143,451,50653,140500,639,36.4785263,-81.5469916,35,,,
991,460,31875,122700,740,36.434752200000005,-81.6872547,34,,,
1555,681,40288,128500,820,36.509099600000006,-81.6445484,36,,,
1169,465,38977,95800,616,36.4436205,-81.5603804,34,,,
1317,685,40446,118600,792,36.374696899999996,-81.4929098,31,,,
1281,526,55313,169500,694,36.412932899999994,-81.5146589,42,,,
998,381,38750,200000,456,36.400737400000004,-81.487841,40,,,
1033,458,32959,115200,542,36.465767,-81.4656709,43,,,
699,404,27283,98600,559,36.4313311,-81.4830427,40,,,
1031,405,30707,194300,476,36.4467654,-81.4373837,41,,,
2000,836,61288,205400,1482,36.30569439999999,-81.532405,31,,,
1026,513,53496,174300,1061,36.3786124,-81.5840404,26,,,
425,193,,188300,432,36.3072428,-81.4519885,45,,,
895,464,34028,115900,655,36.5555138,-81.5627803,43,,,
1190,581,39604,205000,907,36.5528222,-81.4287418,33,,,
1624,735,37841,125700,1187,36.4807024,-81.3619794,31,,,
841,309,35795,120800,393,36.5236511,-81.5017463,47,,,
2012,899,29984,144700,1344,36.381186299999996,-81.4264834,36,,,
1250,527,49943,227400,840,36.4281714,-81.4139576,28,,,
1240,517,60612,180900,917,36.3283544,-81.4759041,24,,,
758,327,65536,,466,36.27793870000001,-81.4347215,26,,,
2308,988,41900,134000,1631,36.398838899999994,-81.3489861,26,,,
1578,743,48810,246400,1609,36.1576594,-81.8448542,32,,,
1373,291,57212,180200,781,36.1872141,-81.9059557,35,,,
929,381,68894,314700,2825,36.1130528,-81.8513571,33,,,
268,158,45286,63400,689,36.034378499999995,-81.8271643,29,,,
553,352,20313,144700,393,36.075782000000004,-81.9401455,39,,,
827,468,28400,163000,1836,36.062626200000004,-81.8985709,33,,,
1087,524,30000,97100,899,36.144966499999995,-81.9243891,37,,,
923,414,25833,132700,594,36.1047334,-81.9077959,39,,,
1004,425,58750,234800,661,36.1001697,-81.964513,40,,,
560,247,29408,98400,310,36.1760226,-81.9761651,47,,,
1051,497,33867,74700,632,36.116862,-82.0076484,35,,,
1200,479,31875,92300,672,36.0612449,-82.0224809,36,,,
3625,559,39922,168500,684,35.9660244,-82.0059696,37,,,
895,355,45069,127200,574,36.0293516,-81.9299911,45,,,
1064,457,40022,157300,591,35.99815460000001,-81.9710099,24,,,
564,237,,157400,416,36.2217172,-81.9335938,38,,,
2468,836,32267,119800,1055,35.6656136,-77.1336348,26,,,
1833,731,53646,146200,991,35.588109100000004,-77.1034293,36,,,
1770,713,27739,108900,803,35.5614451,-77.071995,49,,,
1196,475,32235,81900,527,35.540900799999996,-77.0378077,54,,,
932,421,22933,182200,496,35.5719562,-77.0526624,55,,,
1215,419,33628,66500,495,35.549447,-77.0452173,60,,,
456,213,20268,93200,213,35.5526493,-77.0552502,57,,,
1472,663,24095,73600,851,35.5200907,-76.9937551,42,,,
932,517,69315,191900,765,35.4909451,-76.9714371,41,,,
1000,455,38281,88700,559,35.5268032,-76.9857438,30,,,
1313,462,60972,128800,494,35.5510451,-76.8612002,38,,,
1502,677,58281,167500,1384,35.46708889999999,-76.7597523,44,,,
1145,444,42833,61200,749,35.3342602,-76.7311061,22,,,
576,268,32339,67700,379,35.2958279,-76.7902023,47,,,
1180,456,43548,94200,597,35.3984831,-77.0098648,39,,,
803,422,23314,81700,1004,35.36055579999999,-76.8946284,37,,,
2132,794,52604,142700,981,35.5188152,-77.0770087,42,,,
967,399,55912,,515,35.42726879999999,-77.134395,31,,,
1348,443,46583,81600,725,35.505443400000004,-77.1449447,33,,,
1332,531,,82100,600,35.653710100000005,-76.7336125,35,,,
432,247,30469,73200,412,35.552883200000004,-76.5540088,31,,,
1244,573,48325,89900,763,35.555046000000004,-76.732037,35,,,
778,335,22337,60700,454,35.549362200000004,-76.6156663,40,,,
2122,825,49201,142100,926,35.634630200000004,-76.9528614,28,,,
948,455,23560,132500,637,35.541568,-77.0523061,75,,,
2053,782,51325,232100,966,35.5615667,-77.0306512,31,,,
1532,706,64886,234500,911,35.5100744,-77.0050501,49,,,
3012,1122,50256,115600,1304,35.5582098,-76.9641067,38,,,
2154,935,58713,196100,1221,35.4912243,-76.8808266,33,,,
1005,339,38322,64300,462,35.2622452,-76.7735256,40,,,
965,472,,149400,926,35.4368357,-76.6325752,39,,,
2495,1092,73500,293000,1341,35.461267600000006,-77.0072021,22,,,
1509,528,28925,76400,615,35.4679742,-77.0903006,43,,,
654,249,42663,143000,370,35.5884059,-76.6202356,51,,,
768,326,44583,140000,439,35.5340234,-76.6070672,52,,,
1660,719,39078,83400,845,36.185245200000004,-77.0243199,34,,,
1125,504,30089,53200,650,36.0108101,-77.1129549,33,,,
1311,571,29943,53500,716,36.1948316,-77.1809987,37,,,
767,393,24115,136700,686,35.9599716,-76.7786339,28,,,
731,299,64240,85600,299,36.0539506,-76.9289679,40,,,
2104,409,30750,75700,514,35.9975767,-76.8822813,29,,,
872,406,26319,50900,528,35.8889928,-76.8612073,40,,,
792,372,22596,74900,471,35.971642700000004,-76.9737315,28,,,
